AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp
ap-southeast-2b,m3.large,Windows,0.1588,2019-12-31
ap-southeast-2c,m3.large,Windows,0.312,2019-12-31
ap-southeast-2a,m3.large,Windows,0.1588,2019-12-31
ap-southeast-2b,m3.large,Red Hat Enterprise Linux (Amazon VPC),0.0928,2019-12-31
ap-southeast-2c,m3.large,Red Hat Enterprise Linux (Amazon VPC),0.246,2019-12-31
ap-southeast-2a,m3.large,Red Hat Enterprise Linux (Amazon VPC),0.0928,2019-12-31
ap-southeast-2b,m3.large,SUSE Linux (Amazon VPC),0.1328,2019-12-31
ap-southeast-2c,m3.large,SUSE Linux (Amazon VPC),0.286,2019-12-31
ap-southeast-2a,m3.large,SUSE Linux (Amazon VPC),0.1328,2019-12-31
ap-southeast-2b,m3.large,Linux/UNIX (Amazon VPC),0.0328,2019-12-31
ap-southeast-2c,m3.large,Linux/UNIX (Amazon VPC),0.186,2019-12-31
ap-southeast-2a,m3.large,Linux/UNIX (Amazon VPC),0.0328,2019-12-31
ap-southeast-2b,m3.large,Red Hat Enterprise Linux,0.0928,2019-12-31
ap-southeast-2c,m3.large,Red Hat Enterprise Linux,0.246,2019-12-31
ap-southeast-2a,m3.large,Red Hat Enterprise Linux,0.0928,2019-12-31
ap-southeast-2b,m3.large,SUSE Linux,0.1328,2019-12-31
ap-southeast-2c,m3.large,SUSE Linux,0.286,2019-12-31
ap-southeast-2a,m3.large,SUSE Linux,0.1328,2019-12-31
ap-southeast-2b,m3.large,Linux/UNIX,0.0328,2019-12-31
ap-southeast-2c,m3.large,Linux/UNIX,0.186,2019-12-31
ap-southeast-2a,m3.large,Linux/UNIX,0.0328,2019-12-31
ap-southeast-2a,f1.16xlarge,Red Hat Enterprise Linux (Amazon VPC),15.978,2019-12-31
ap-southeast-2a,f1.16xlarge,SUSE Linux (Amazon VPC),15.948,2019-12-31
ap-southeast-2a,f1.16xlarge,Linux/UNIX (Amazon VPC),15.848,2019-12-31
ap-southeast-2b,t3.xlarge,Red Hat Enterprise Linux (Amazon VPC),0.1282,2019-12-31
ap-southeast-2c,t3.xlarge,Red Hat Enterprise Linux (Amazon VPC),0.1234,2019-12-31
ap-southeast-2a,t3.xlarge,Red Hat Enterprise Linux (Amazon VPC),0.1234,2019-12-31
ap-southeast-2b,t3.xlarge,SUSE Linux (Amazon VPC),0.1682,2019-12-31
ap-southeast-2c,t3.xlarge,SUSE Linux (Amazon VPC),0.1634,2019-12-31
ap-southeast-2a,t3.xlarge,SUSE Linux (Amazon VPC),0.1634,2019-12-31
ap-southeast-2b,t3.xlarge,Linux/UNIX (Amazon VPC),0.0682,2019-12-31
ap-southeast-2c,t3.xlarge,Linux/UNIX (Amazon VPC),0.0634,2019-12-31
ap-southeast-2a,t3.xlarge,Linux/UNIX (Amazon VPC),0.0634,2019-12-31
ap-southeast-2b,t3.xlarge,Windows (Amazon VPC),0.137,2019-12-31
ap-southeast-2c,t3.xlarge,Windows (Amazon VPC),0.137,2019-12-31
ap-southeast-2a,t3.xlarge,Windows (Amazon VPC),0.137,2019-12-31
ap-southeast-2a,m5a.xlarge,Red Hat Enterprise Linux (Amazon VPC),0.1338,2019-12-31
ap-southeast-2a,m5a.xlarge,SUSE Linux (Amazon VPC),0.1738,2019-12-31
ap-southeast-2a,m5a.xlarge,Linux/UNIX (Amazon VPC),0.0738,2019-12-31
